match_id,friendly_picks,enemy_picks,bans,win_rate
31,"[7, 5, 10, 4, 28]","[30, 24, 11, 12, 26]","[16, 20, 9, 21, 29, 13]",0.5187
32,"[1, 21, 15, 2, 17]","[25, 27, 16, 19, 24]","[9, 22, 30, 28, 7, 10]",0.6861
33,"[27, 20, 1, 23, 30]","[10, 14, 25, 28, 18]","[26, 6, 29, 24, 15, 8]",0.6627
34,"[15, 21, 26, 18, 24]","[17, 23, 8, 7, 22]","[5, 4, 10, 25, 6, 29]",0.6103
35,"[9, 4, 27, 12, 19]","[21, 25, 11, 28, 8]","[1, 16, 17, 29, 30, 15]",0.6237
36,"[15, 8, 4, 26, 25]","[23, 19, 14, 6, 5]","[7, 2, 3, 28, 27, 24]",0.6173
37,"[17, 7, 26, 27, 16]","[3, 19, 15, 28, 9]","[10, 24, 6, 8, 21, 12]",0.5162
38,"[26, 29, 1, 14, 16]","[9, 6, 27, 18, 11]","[13, 12, 5, 28, 2, 8]",0.5807
39,"[7, 28, 15, 25, 2]","[17, 18, 19, 20, 1]","[3, 5, 22, 8, 11, 6]",0.7203
40,"[21, 14, 19, 27, 18]","[25, 8, 11, 22, 23]","[13, 4, 1, 9, 26, 10]",0.653
41,"[3, 7, 6, 20, 24]","[27, 17, 5, 1, 28]","[30, 10, 2, 19, 25, 14]",0.6229
42,"[13, 12, 20, 19, 14]","[23, 21, 24, 30, 6]","[15, 22, 26, 16, 9, 8]",0.6417
43,"[3, 27, 23, 22, 9]","[13, 15, 17, 12, 30]","[25, 4, 2, 8, 26, 29]",0.5922
44,"[27, 23, 1, 4, 20]","[5, 2, 14, 25, 11]","[13, 29, 18, 12, 22, 28]",0.6059
45,"[15, 5, 25, 30, 21]","[6, 19, 20, 27, 16]","[1, 28, 18, 13, 12, 26]",0.5191
46,"[2, 16, 29, 14, 25]","[26, 10, 24, 9, 21]","[15, 11, 22, 1, 17, 6]",0.7126
47,"[4, 1, 8, 5, 2]","[28, 20, 26, 11, 24]","[14, 10, 13, 3, 18, 9]",0.583
48,"[9, 28, 12, 30, 29]","[5, 16, 15, 3, 13]","[21, 8, 6, 2, 22, 10]",0.6286
49,"[22, 27, 5, 20, 24]","[25, 2, 21, 9, 7]","[26, 3, 30, 29, 1, 8]",0.6276
50,"[6, 13, 3, 19, 20]","[5, 23, 10, 29, 16]","[22, 24, 25, 9, 18, 2]",0.7046
51,"[18, 14, 6, 3, 17]","[11, 30, 8, 25, 24]","[21, 13, 16, 26, 9, 5]",0.6259
52,"[27, 24, 3, 4, 11]","[7, 20, 30, 25, 15]","[17, 9, 5, 13, 29, 16]",0.6241
53,"[15, 20, 19, 30, 11]","[8, 22, 4, 29, 5]","[25, 6, 24, 12, 14, 21]",0.7001
54,"[8, 13, 16, 6, 24]","[15, 26, 22, 12, 5]","[23, 11, 27, 17, 25, 2]",0.6955
55,"[10, 29, 27, 24, 9]","[6, 3, 28, 11, 26]","[15, 16, 13, 22, 4, 7]",0.5921
56,"[26, 8, 15, 24, 10]","[11, 3, 14, 2, 16]","[25, 1, 6, 4, 12, 5]",0.6984
57,"[16, 4, 3, 22, 23]","[28, 9, 1, 29, 5]","[13, 17, 14, 6, 8, 20]",0.6427
58,"[3, 19, 26, 16, 5]","[25, 11, 21, 6, 20]","[10, 13, 22, 2, 4, 15]",0.6828
59,"[13, 12, 14, 26, 1]","[6, 22, 7, 19, 24]","[27, 3, 8, 5, 21, 30]",0.6922
60,"[25, 18, 4, 2, 15]","[29, 26, 19, 11, 6]","[14, 30, 17, 1, 20, 24]",0.589
61,"[18, 9, 23, 1, 10]","[19, 25, 6, 5, 15]","[30, 16, 22, 20, 14, 26]",0.5347
62,"[19, 27, 21, 16, 29]","[11, 2, 14, 12, 15]","[5, 3, 25, 6, 24, 26]",0.6556
63,"[23, 11, 7, 4, 21]","[12, 19, 6, 18, 27]","[2, 14, 1, 5, 30, 26]",0.5791
64,"[22, 5, 11, 23, 24]","[14, 18, 15, 20, 16]","[29, 4, 28, 25, 21, 27]",0.5864
65,"[19, 18, 2, 4, 8]","[14, 24, 26, 17, 7]","[6, 15, 12, 23, 11, 25]",0.6432
66,"[25, 30, 21, 18, 20]","[15, 8, 13, 16, 28]","[11, 19, 9, 17, 27, 29]",0.6047
67,"[24, 13, 3, 25, 27]","[6, 8, 23, 22, 29]","[18, 10, 15, 19, 11, 17]",0.5447
68,"[22, 9, 29, 10, 13]","[24, 5, 18, 23, 14]","[17, 20, 21, 25, 4, 6]",0.6475
69,"[18, 7, 16, 3, 25]","[10, 26, 1, 15, 23]","[24, 27, 14, 21, 30, 2]",0.6294
70,"[28, 22, 23, 1, 30]","[10, 29, 17, 7, 14]","[12, 9, 16, 2, 20, 19]",0.694
71,"[25, 7, 8, 26, 4]","[10, 19, 30, 17, 18]","[2, 14, 23, 24, 20, 16]",0.7325
72,"[14, 13, 23, 21, 20]","[4, 28, 18, 10, 19]","[24, 17, 12, 27, 3, 29]",0.6146
73,"[18, 20, 28, 26, 7]","[8, 11, 19, 21, 25]","[5, 24, 1, 22, 14, 17]",0.6603
74,"[20, 10, 6, 21, 13]","[22, 23, 30, 29, 1]","[2, 24, 14, 9, 11, 19]",0.6688
75,"[21, 25, 3, 8, 7]","[23, 15, 11, 10, 28]","[27, 26, 20, 18, 19, 12]",0.5636
76,"[8, 2, 20, 17, 3]","[9, 24, 26, 21, 25]","[7, 22, 16, 15, 19, 6]",0.6384
77,"[17, 12, 24, 1, 28]","[7, 14, 27, 19, 9]","[26, 10, 25, 2, 8, 22]",0.6998
78,"[29, 27, 28, 18, 8]","[24, 12, 1, 25, 17]","[10, 3, 14, 4, 2, 20]",0.6103
79,"[2, 8, 28, 4, 25]","[27, 5, 14, 7, 20]","[24, 12, 15, 10, 29, 19]",0.6156
80,"[28, 9, 13, 17, 24]","[4, 1, 19, 14, 27]","[30, 29, 10, 6, 2, 5]",0.5651
81,"[28, 8, 5, 15, 27]","[20, 26, 14, 4, 12]","[24, 16, 13, 30, 10, 19]",0.6189
82,"[21, 30, 1, 29, 18]","[16, 12, 14, 9, 7]","[26, 11, 5, 8, 13, 6]",0.7119
83,"[24, 10, 23, 20, 30]","[25, 12, 3, 1, 16]","[28, 15, 17, 11, 22, 29]",0.6554
84,"[30, 25, 16, 20, 9]","[26, 5, 15, 21, 23]","[27, 4, 18, 1, 8, 11]",0.6627
85,"[14, 1, 25, 15, 22]","[19, 7, 12, 28, 18]","[17, 30, 4, 24, 27, 29]",0.6387
86,"[15, 2, 26, 29, 6]","[22, 9, 23, 16, 18]","[20, 1, 3, 5, 17, 10]",0.6141
87,"[5, 28, 22, 30, 23]","[29, 27, 24, 19, 14]","[17, 13, 10, 9, 11, 3]",0.5393
88,"[6, 7, 25, 22, 18]","[3, 5, 15, 19, 28]","[13, 9, 29, 20, 21, 2]",0.5521
89,"[25, 8, 20, 9, 23]","[26, 4, 2, 16, 10]","[30, 24, 11, 12, 18, 14]",0.5243
90,"[10, 15, 17, 26, 29]","[25, 19, 8, 14, 22]","[13, 23, 24, 20, 11, 28]",0.5659
91,"[8, 27, 4, 19, 15]","[13, 10, 1, 28, 16]","[3, 30, 14, 25, 5, 2]",0.7005
92,"[12, 27, 11, 17, 25]","[20, 14, 15, 2, 16]","[3, 26, 23, 10, 13, 18]",0.5583
93,"[15, 5, 10, 19, 7]","[9, 13, 6, 28, 22]","[1, 23, 8, 3, 2, 12]",0.6896
94,"[16, 23, 1, 8, 6]","[25, 9, 12, 2, 3]","[26, 19, 15, 21, 11, 7]",0.6556
95,"[23, 24, 11, 2, 19]","[9, 4, 30, 13, 7]","[10, 21, 14, 28, 16, 5]",0.5802
96,"[19, 6, 13, 15, 16]","[25, 21, 23, 24, 7]","[5, 18, 27, 20, 29, 3]",0.6634
97,"[14, 27, 28, 23, 21]","[25, 3, 6, 4, 7]","[30, 11, 13, 15, 26, 1]",0.67
98,"[2, 9, 14, 19, 15]","[29, 3, 20, 25, 4]","[22, 24, 7, 26, 5, 27]",0.531
99,"[19, 9, 8, 25, 12]","[14, 26, 7, 13, 5]","[10, 4, 2, 28, 3, 24]",0.7118
100,"[17, 19, 7, 16, 29]","[28, 10, 21, 26, 25]","[24, 5, 12, 18, 20, 9]",0.7035
101,"[17, 8, 25, 21, 6]","[13, 16, 5, 19, 12]","[27, 29, 24, 11, 22, 9]",0.6826
102,"[20, 14, 24, 3, 17]","[10, 30, 9, 13, 25]","[4, 2, 22, 26, 27, 12]",0.6135
103,"[24, 21, 5, 29, 4]","[15, 26, 22, 27, 23]","[7, 14, 11, 16, 1, 28]",0.6011
104,"[18, 30, 9, 28, 19]","[1, 10, 4, 17, 5]","[2, 14, 7, 3, 8, 29]",0.5746
105,"[3, 14, 24, 20, 13]","[27, 23, 9, 29, 26]","[18, 19, 30, 21, 11, 15]",0.6549
106,"[3, 17, 9, 8, 15]","[11, 19, 7, 28, 1]","[25, 12, 5, 13, 21, 20]",0.6172
107,"[30, 22, 12, 14, 5]","[19, 9, 26, 20, 25]","[7, 17, 24, 29, 10, 13]",0.6226
108,"[9, 17, 14, 13, 30]","[21, 12, 22, 2, 23]","[19, 24, 25, 11, 29, 10]",0.5701
109,"[12, 5, 10, 30, 29]","[25, 24, 28, 21, 1]","[9, 19, 11, 18, 27, 3]",0.6727
110,"[7, 5, 22, 10, 21]","[13, 20, 19, 17, 2]","[11, 8, 16, 27, 23, 9]",0.5336
111,"[10, 5, 20, 29, 9]","[27, 13, 11, 6, 19]","[18, 26, 24, 21, 28, 12]",0.6139
112,"[5, 18, 2, 23, 28]","[20, 4, 6, 7, 16]","[30, 3, 25, 19, 17, 10]",0.5134
113,"[23, 11, 19, 12, 29]","[6, 4, 13, 28, 17]","[27, 22, 14, 25, 10, 18]",0.5887
114,"[7, 10, 1, 26, 24]","[27, 9, 23, 21, 5]","[20, 29, 6, 18, 25, 2]",0.6664
115,"[4, 21, 27, 1, 13]","[20, 17, 8, 16, 25]","[10, 9, 30, 5, 18, 22]",0.6965
116,"[9, 2, 23, 12, 30]","[6, 16, 27, 28, 3]","[29, 17, 21, 8, 26, 22]",0.6996
117,"[16, 26, 8, 19, 27]","[20, 4, 15, 6, 17]","[5, 12, 23, 29, 1, 14]",0.5186
118,"[27, 20, 28, 10, 5]","[12, 18, 6, 29, 13]","[19, 4, 25, 22, 11, 2]",0.6263
119,"[20, 13, 18, 21, 23]","[3, 25, 8, 4, 11]","[19, 1, 6, 29, 26, 28]",0.5475
120,"[29, 10, 13, 28, 14]","[9, 16, 20, 18, 3]","[24, 12, 27, 8, 21, 11]",0.5805
121,"[12, 30, 21, 19, 10]","[25, 6, 15, 7, 4]","[23, 17, 8, 2, 29, 9]",0.5407
122,"[4, 28, 2, 1, 15]","[23, 25, 6, 16, 10]","[19, 29, 11, 26, 21, 7]",0.554
123,"[20, 25, 27, 23, 7]","[28, 26, 16, 4, 19]","[13, 9, 14, 15, 5, 1]",0.6755
124,"[22, 16, 29, 15, 20]","[7, 4, 8, 26, 23]","[28, 9, 17, 24, 21, 3]",0.6581
125,"[24, 1, 3, 28, 16]","[10, 20, 6, 30, 8]","[25, 11, 14, 5, 26, 17]",0.6089
126,"[18, 19, 2, 14, 12]","[9, 21, 13, 30, 29]","[26, 23, 1, 8, 17, 28]",0.7241
127,"[20, 14, 1, 24, 2]","[23, 12, 22, 3, 27]","[21, 29, 9, 28, 17, 26]",0.529
128,"[30, 24, 26, 5, 11]","[28, 3, 6, 16, 17]","[7, 19, 29, 8, 22, 18]",0.5816
129,"[3, 21, 26, 5, 6]","[23, 29, 17, 14, 13]","[4, 15, 9, 22, 7, 25]",0.696
130,"[25, 12, 23, 4, 29]","[18, 19, 9, 11, 3]","[14, 16, 26, 1, 17, 15]",0.559
131,"[26, 1, 12, 8, 6]","[15, 29, 14, 20, 4]","[24, 3, 13, 22, 17, 16]",0.6214
132,"[20, 23, 26, 18, 13]","[21, 5, 30, 3, 19]","[8, 29, 27, 28, 6, 1]",0.6767
133,"[19, 1, 15, 6, 13]","[7, 5, 25, 16, 3]","[10, 20, 9, 22, 27, 30]",0.7031
134,"[30, 10, 5, 14, 15]","[20, 12, 21, 2, 8]","[18, 28, 3, 13, 22, 29]",0.532
135,"[17, 13, 27, 22, 9]","[1, 15, 20, 10, 4]","[12, 23, 11, 24, 5, 7]",0.6207
136,"[11, 7, 18, 5, 13]","[26, 21, 8, 2, 22]","[16, 4, 24, 29, 19, 27]",0.5912
137,"[1, 25, 6, 4, 15]","[11, 26, 27, 24, 23]","[12, 30, 2, 16, 8, 29]",0.5787
138,"[10, 22, 6, 27, 14]","[15, 30, 16, 7, 17]","[4, 26, 5, 12, 25, 2]",0.6491
139,"[28, 24, 12, 19, 13]","[11, 1, 20, 14, 4]","[2, 5, 7, 23, 27, 8]",0.6011
140,"[25, 24, 6, 13, 5]","[17, 20, 1, 23, 12]","[27, 4, 8, 28, 22, 26]",0.6416
141,"[26, 20, 2, 12, 15]","[9, 27, 14, 21, 10]","[18, 23, 29, 3, 28, 1]",0.6779
142,"[13, 2, 23, 25, 17]","[10, 27, 4, 29, 9]","[22, 16, 8, 15, 18, 28]",0.6552
143,"[3, 23, 8, 20, 14]","[25, 4, 6, 12, 9]","[30, 24, 5, 19, 7, 28]",0.5467
144,"[18, 11, 30, 23, 5]","[24, 1, 8, 21, 29]","[6, 3, 28, 14, 16, 15]",0.6335
145,"[14, 5, 3, 12, 1]","[10, 17, 16, 18, 6]","[26, 15, 30, 19, 21, 27]",0.536
146,"[1, 17, 29, 22, 4]","[11, 16, 12, 27, 15]","[28, 3, 10, 8, 25, 20]",0.6336
147,"[2, 24, 21, 7, 13]","[8, 19, 18, 25, 22]","[6, 14, 30, 9, 27, 15]",0.6205
148,"[18, 28, 2, 26, 8]","[29, 25, 1, 19, 6]","[23, 22, 3, 21, 17, 15]",0.5425
149,"[26, 15, 25, 7, 22]","[21, 10, 23, 29, 19]","[14, 9, 27, 16, 2, 3]",0.7216
150,"[5, 16, 3, 24, 13]","[20, 9, 2, 4, 29]","[19, 15, 17, 22, 26, 28]",0.6577
151,"[14, 28, 26, 8, 12]","[11, 2, 30, 6, 22]","[10, 16, 21, 7, 1, 3]",0.6447
152,"[15, 8, 14, 6, 20]","[11, 4, 17, 21, 7]","[25, 12, 2, 18, 26, 13]",0.6795
153,"[25, 1, 7, 28, 11]","[10, 6, 24, 16, 26]","[4, 20, 19, 22, 15, 14]",0.6241
154,"[9, 29, 10, 23, 6]","[14, 15, 27, 22, 16]","[2, 25, 26, 24, 28, 8]",0.5635
155,"[5, 14, 15, 9, 3]","[28, 4, 10, 16, 19]","[24, 25, 21, 2, 8, 18]",0.5637
156,"[9, 3, 7, 27, 25]","[29, 12, 18, 21, 2]","[14, 13, 10, 28, 24, 4]",0.5921
157,"[26, 1, 21, 27, 10]","[14, 6, 18, 5, 13]","[17, 16, 15, 19, 12, 2]",0.6936
158,"[12, 27, 21, 25, 28]","[3, 26, 30, 18, 16]","[22, 6, 9, 10, 1, 5]",0.5625
159,"[30, 10, 27, 2, 1]","[22, 29, 3, 8, 12]","[17, 6, 26, 23, 16, 9]",0.6815
160,"[4, 11, 21, 26, 19]","[12, 2, 18, 7, 22]","[15, 17, 14, 9, 10, 24]",0.6225
161,"[3, 8, 25, 6, 27]","[24, 11, 4, 15, 7]","[19, 1, 21, 9, 30, 12]",0.6644
162,"[12, 29, 7, 21, 17]","[15, 19, 1, 20, 6]","[24, 8, 18, 25, 26, 16]",0.5733
163,"[7, 8, 10, 23, 4]","[25, 6, 14, 11, 29]","[24, 9, 12, 27, 1, 15]",0.6972
164,"[13, 27, 28, 16, 3]","[26, 9, 25, 2, 14]","[21, 24, 22, 6, 18, 11]",0.5418
165,"[9, 19, 8, 1, 15]","[13, 14, 2, 27, 7]","[18, 29, 5, 20, 12, 4]",0.5728
166,"[6, 3, 2, 13, 10]","[28, 7, 5, 14, 11]","[27, 16, 19, 30, 8, 20]",0.5189
167,"[13, 3, 15, 20, 14]","[29, 5, 25, 30, 27]","[7, 10, 28, 21, 9, 22]",0.6967
168,"[27, 20, 25, 15, 17]","[19, 5, 6, 28, 2]","[3, 12, 23, 7, 18, 26]",0.5519
169,"[14, 24, 27, 19, 3]","[4, 5, 26, 13, 11]","[28, 8, 20, 25, 21, 1]",0.6933
170,"[10, 13, 7, 25, 2]","[23, 14, 19, 15, 28]","[5, 17, 6, 4, 27, 20]",0.6692
171,"[18, 19, 28, 5, 12]","[6, 22, 29, 17, 25]","[4, 15, 21, 10, 16, 20]",0.5525
172,"[19, 5, 20, 13, 15]","[24, 30, 25, 17, 9]","[18, 28, 4, 26, 6, 10]",0.6805
173,"[19, 29, 18, 27, 15]","[13, 5, 8, 2, 17]","[22, 6, 1, 4, 7, 25]",0.5815
174,"[14, 23, 13, 6, 15]","[21, 10, 7, 2, 9]","[12, 11, 16, 29, 3, 22]",0.6148
175,"[17, 9, 7, 8, 21]","[16, 27, 22, 29, 20]","[10, 4, 15, 1, 18, 19]",0.7024
176,"[21, 9, 29, 6, 22]","[10, 4, 7, 20, 11]","[19, 27, 8, 1, 3, 25]",0.6963
177,"[6, 30, 19, 9, 10]","[18, 17, 4, 14, 20]","[8, 7, 16, 22, 24, 15]",0.5353
178,"[25, 27, 18, 22, 10]","[11, 6, 19, 1, 23]","[2, 26, 12, 28, 5, 17]",0.5556
179,"[1, 7, 14, 3, 10]","[20, 28, 13, 12, 23]","[21, 5, 16, 15, 17, 8]",0.6889
180,"[8, 25, 30, 7, 27]","[3, 12, 24, 22, 18]","[20, 9, 28, 6, 11, 23]",0.6811
181,"[27, 16, 24, 10, 14]","[8, 20, 11, 9, 4]","[28, 13, 1, 19, 30, 23]",0.5736
182,"[1, 3, 22, 16, 8]","[19, 9, 15, 23, 5]","[7, 26, 21, 25, 11, 4]",0.5582
183,"[24, 5, 3, 9, 19]","[4, 18, 12, 15, 28]","[2, 13, 7, 26, 20, 11]",0.5261
184,"[23, 16, 30, 10, 11]","[25, 6, 3, 2, 21]","[13, 14, 26, 29, 8, 1]",0.7064
185,"[24, 17, 4, 22, 26]","[18, 28, 9, 1, 23]","[11, 15, 16, 2, 7, 19]",0.6268
186,"[2, 6, 28, 20, 8]","[13, 10, 14, 25, 9]","[26, 4, 19, 23, 24, 5]",0.5602
187,"[5, 3, 30, 22, 8]","[19, 25, 14, 21, 23]","[1, 12, 9, 18, 28, 13]",0.6664
188,"[20, 15, 23, 16, 21]","[2, 22, 18, 19, 6]","[9, 10, 28, 30, 13, 29]",0.6476
189,"[19, 30, 29, 16, 2]","[14, 25, 5, 3, 28]","[27, 23, 10, 8, 1, 20]",0.611
190,"[26, 10, 21, 13, 25]","[3, 29, 5, 15, 7]","[11, 16, 19, 22, 14, 28]",0.685
191,"[26, 16, 17, 19, 1]","[9, 6, 24, 8, 21]","[20, 25, 10, 29, 15, 4]",0.6726
192,"[18, 27, 25, 9, 3]","[29, 15, 19, 1, 24]","[10, 7, 26, 30, 22, 17]",0.5609
193,"[21, 15, 14, 8, 29]","[10, 11, 16, 20, 13]","[25, 4, 1, 22, 23, 9]",0.6503
194,"[1, 22, 15, 5, 6]","[24, 23, 10, 16, 11]","[18, 3, 21, 13, 17, 9]",0.6789
195,"[15, 26, 23, 11, 18]","[28, 24, 8, 2, 20]","[17, 4, 19, 6, 16, 25]",0.7133
196,"[27, 14, 18, 30, 17]","[9, 20, 5, 11, 26]","[4, 13, 25, 8, 21, 7]",0.6072
197,"[6, 19, 12, 15, 17]","[16, 23, 14, 24, 11]","[2, 8, 25, 1, 20, 18]",0.5841
198,"[14, 17, 9, 27, 13]","[1, 3, 25, 7, 30]","[4, 2, 12, 16, 26, 18]",0.6958
199,"[8, 3, 13, 24, 6]","[20, 25, 21, 1, 2]","[27, 30, 10, 7, 18, 22]",0.5698
200,"[21, 25, 15, 12, 30]","[22, 4, 27, 7, 6]","[29, 28, 2, 10, 9, 3]",0.5518
201,"[22, 20, 8, 27, 14]","[23, 18, 6, 16, 4]","[2, 25, 28, 13, 15, 7]",0.5949
202,"[22, 5, 2, 13, 25]","[28, 24, 1, 21, 17]","[19, 11, 7, 26, 8, 3]",0.6117
203,"[13, 21, 23, 20, 11]","[29, 19, 27, 7, 10]","[2, 15, 3, 16, 17, 4]",0.6308
204,"[15, 29, 12, 5, 1]","[3, 18, 4, 26, 10]","[14, 11, 9, 28, 24, 27]",0.5679
205,"[11, 24, 12, 30, 26]","[3, 22, 5, 4, 8]","[7, 13, 23, 21, 10, 27]",0.6665
206,"[26, 7, 25, 28, 5]","[29, 16, 21, 22, 14]","[17, 15, 4, 2, 20, 12]",0.5444
207,"[26, 9, 23, 6, 5]","[10, 17, 8, 7, 13]","[16, 22, 3, 25, 18, 1]",0.6984
208,"[8, 21, 9, 2, 12]","[28, 24, 20, 19, 11]","[22, 14, 15, 13, 3, 6]",0.5584
209,"[23, 29, 7, 16, 25]","[28, 24, 15, 26, 30]","[9, 17, 4, 1, 18, 14]",0.6304
210,"[2, 23, 22, 8, 17]","[11, 12, 14, 9, 6]","[21, 7, 25, 4, 16, 29]",0.635
211,"[8, 19, 3, 24, 27]","[18, 21, 6, 4, 5]","[23, 20, 1, 12, 17, 26]",0.7191
212,"[10, 14, 27, 2, 17]","[1, 9, 15, 22, 12]","[20, 4, 11, 21, 30, 29]",0.5577
213,"[30, 13, 15, 22, 6]","[21, 12, 14, 29, 9]","[20, 3, 1, 11, 16, 25]",0.6348
214,"[4, 27, 20, 6, 8]","[19, 21, 15, 11, 22]","[26, 13, 7, 5, 9, 17]",0.6493
215,"[28, 26, 21, 11, 15]","[18, 8, 25, 13, 22]","[10, 2, 9, 17, 6, 1]",0.7025
216,"[2, 27, 11, 21, 18]","[20, 29, 30, 23, 22]","[5, 10, 3, 28, 6, 7]",0.5719
217,"[28, 3, 4, 16, 13]","[2, 27, 9, 7, 5]","[19, 11, 18, 15, 24, 6]",0.5712
218,"[1, 17, 13, 14, 25]","[8, 20, 30, 26, 9]","[24, 22, 12, 27, 4, 28]",0.6908
219,"[12, 10, 28, 22, 18]","[29, 19, 16, 13, 5]","[15, 8, 20, 6, 23, 27]",0.5496
220,"[27, 29, 13, 5, 14]","[2, 12, 19, 30, 3]","[11, 18, 21, 7, 9, 28]",0.6722
221,"[11, 25, 12, 3, 23]","[30, 6, 21, 19, 29]","[22, 18, 17, 15, 26, 2]",0.545
222,"[12, 7, 26, 1, 14]","[5, 25, 29, 4, 23]","[21, 17, 9, 16, 28, 30]",0.587
223,"[20, 16, 8, 24, 1]","[4, 25, 2, 19, 6]","[18, 7, 5, 11, 22, 21]",0.4921
224,"[15, 5, 11, 21, 14]","[19, 29, 16, 2, 20]","[17, 18, 28, 25, 26, 12]",0.6232
225,"[25, 28, 4, 8, 6]","[30, 14, 13, 23, 29]","[26, 5, 21, 9, 17, 1]",0.707
226,"[27, 14, 20, 25, 15]","[30, 16, 17, 13, 24]","[29, 5, 1, 7, 28, 11]",0.6459
227,"[26, 29, 1, 18, 11]","[24, 25, 4, 14, 12]","[20, 8, 17, 6, 22, 21]",0.6005
228,"[23, 14, 5, 3, 10]","[28, 24, 7, 29, 26]","[16, 2, 22, 21, 8, 25]",0.573
229,"[3, 12, 16, 26, 18]","[23, 15, 9, 8, 22]","[21, 24, 19, 14, 13, 30]",0.5969
230,"[17, 10, 4, 24, 28]","[21, 23, 27, 9, 13]","[8, 16, 15, 14, 26, 2]",0.6672
231,"[29, 30, 21, 15, 6]","[14, 17, 28, 16, 20]","[4, 8, 9, 22, 18, 11]",0.6915
232,"[29, 28, 1, 15, 4]","[7, 20, 12, 19, 23]","[27, 10, 25, 9, 18, 2]",0.5028
233,"[16, 3, 24, 22, 17]","[9, 29, 2, 14, 1]","[30, 19, 26, 23, 10, 27]",0.5997
234,"[16, 1, 20, 21, 4]","[9, 22, 13, 23, 19]","[10, 27, 12, 25, 2, 29]",0.6766
235,"[27, 9, 17, 21, 28]","[15, 4, 11, 24, 10]","[3, 8, 2, 30, 5, 19]",0.6714
236,"[13, 28, 19, 25, 21]","[23, 9, 15, 11, 22]","[1, 18, 20, 4, 17, 14]",0.7162
